"id","title","description","link","image_link","additional_image_link","price","availability","condition","brand","google_product_category","product_type","item_group_id","color","size","material"
"lum-009-20-150","The Signature Straight - Natural Black - 20inch/50cm - 150%","A straight human-hair wig with transparent 13x6 lace and flexible parting space. Available in 150% and 180% density at 16, 20, and 24 inches.","https://arelvienne.com/signature-straight-human-hair-wig.html?variant=lum-009-20-150&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-009-20-150","https://arelvienne.com/images/lum-009/main_01.webp","https://arelvienne.com/images/lum-009/main_02.webp,https://arelvienne.com/images/lum-009/main_03.webp,https://arelvienne.com/images/lum-009/main_04.webp,https://arelvienne.com/images/lum-009/main_05.webp","349.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-009","Natural Black","20inch/50cm","Human Hair"
"lum-009-20-180","The Signature Straight - Natural Black - 20inch/50cm - 180%","A straight human-hair wig with transparent 13x6 lace and flexible parting space. Available in 150% and 180% density at 16, 20, and 24 inches.","https://arelvienne.com/signature-straight-human-hair-wig.html?variant=lum-009-20-180&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-009-20-180","https://arelvienne.com/images/lum-009/main_01.webp","https://arelvienne.com/images/lum-009/main_02.webp,https://arelvienne.com/images/lum-009/main_03.webp,https://arelvienne.com/images/lum-009/main_04.webp,https://arelvienne.com/images/lum-009/main_05.webp","379.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-009","Natural Black","20inch/50cm","Human Hair"
"lum-009-24-150","The Signature Straight - Natural Black - 24inch/60cm - 150%","A straight human-hair wig with transparent 13x6 lace and flexible parting space. Available in 150% and 180% density at 16, 20, and 24 inches.","https://arelvienne.com/signature-straight-human-hair-wig.html?variant=lum-009-24-150&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-009-24-150","https://arelvienne.com/images/lum-009/main_01.webp","https://arelvienne.com/images/lum-009/main_02.webp,https://arelvienne.com/images/lum-009/main_03.webp,https://arelvienne.com/images/lum-009/main_04.webp,https://arelvienne.com/images/lum-009/main_05.webp","449.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-009","Natural Black","24inch/60cm","Human Hair"
"lum-009-24-180","The Signature Straight - Natural Black - 24inch/60cm - 180%","A straight human-hair wig with transparent 13x6 lace and flexible parting space. Available in 150% and 180% density at 16, 20, and 24 inches.","https://arelvienne.com/signature-straight-human-hair-wig.html?variant=lum-009-24-180&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-009-24-180","https://arelvienne.com/images/lum-009/main_01.webp","https://arelvienne.com/images/lum-009/main_02.webp,https://arelvienne.com/images/lum-009/main_03.webp,https://arelvienne.com/images/lum-009/main_04.webp,https://arelvienne.com/images/lum-009/main_05.webp","479.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-009","Natural Black","24inch/60cm","Human Hair"
"lum-012-short","The Water Wave Bob - Natural Black - Short Bob","Soft water-wave texture in an easy short silhouette. Lightweight, face-framing, and ready for everyday wear, this human-hair bob gives natural movement with a polished finish that still feels effortless.","https://arelvienne.com/water-wave-bob-wig.html?variant=lum-012-short&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-012-short","https://arelvienne.com/images/lum-012/main_01.webp","https://arelvienne.com/images/lum-012/main_02.webp,https://arelvienne.com/images/lum-012/main_03.webp,https://arelvienne.com/images/lum-012/main_04.webp,https://arelvienne.com/images/lum-012/main_05.webp","159.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","","Natural Black","Short Bob","Human Hair"
"lum-013-16-200","The Bouncy Curl Closure - Natural Black - 16inch/40cm","Soft, springy curls with a polished 5x5 closure finish. This glueless human-hair wig gives full 200% density, natural movement, and an easy wear-and-go fit for days when you want volume without fuss.","https://arelvienne.com/bouncy-curl-closure-wig.html?variant=lum-013-16-200&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-013-16-200","https://arelvienne.com/images/lum-013/main_01_front_hero.webp","https://arelvienne.com/images/lum-013/main_02_3quarter_side.webp,https://arelvienne.com/images/lum-013/main_03_back_3quarter.webp,https://arelvienne.com/images/lum-013/main_04_lace_closeup_v2.webp,https://arelvienne.com/images/lum-013/main_05_product_hero_chair.webp","289.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","","Natural Black","16inch/40cm","Human Hair"
"lum-014-10","The Champagne Body Wave - #613 Blonde Body Wave - 10inch/25cm","A luminous #613 blonde body-wave wig with soft movement and a polished lace-front finish. Airy, bright, and easy to style, it brings a champagne-blonde glow without losing the natural softness of human hair.","https://arelvienne.com/champagne-blonde-body-wave-wig.html?variant=lum-014-10&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-014-10","https://arelvienne.com/images/lum-014/01_front_hero_613_blonde_wig.webp","https://arelvienne.com/images/lum-014/02_three_quarter_side_portrait.webp,https://arelvienne.com/images/lum-014/03_back_three_quarter_view.webp,https://arelvienne.com/images/lum-014/04_lace_front_closeup.webp,https://arelvienne.com/images/lum-014/05_seated_product_hero_boucle_chair.webp","229.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-014","Blonde","10inch/25cm","Human Hair"
"lum-014-12","The Champagne Body Wave - #613 Blonde Body Wave - 12inch/30cm","A luminous #613 blonde body-wave wig with soft movement and a polished lace-front finish. Airy, bright, and easy to style, it brings a champagne-blonde glow without losing the natural softness of human hair.","https://arelvienne.com/champagne-blonde-body-wave-wig.html?variant=lum-014-12&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-014-12","https://arelvienne.com/images/lum-014/01_front_hero_613_blonde_wig.webp","https://arelvienne.com/images/lum-014/02_three_quarter_side_portrait.webp,https://arelvienne.com/images/lum-014/03_back_three_quarter_view.webp,https://arelvienne.com/images/lum-014/04_lace_front_closeup.webp,https://arelvienne.com/images/lum-014/05_seated_product_hero_boucle_chair.webp","239.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-014","Blonde","12inch/30cm","Human Hair"
"lum-014-14","The Champagne Body Wave - #613 Blonde Body Wave - 14inch/35cm","A luminous #613 blonde body-wave wig with soft movement and a polished lace-front finish. Airy, bright, and easy to style, it brings a champagne-blonde glow without losing the natural softness of human hair.","https://arelvienne.com/champagne-blonde-body-wave-wig.html?variant=lum-014-14&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-014-14","https://arelvienne.com/images/lum-014/01_front_hero_613_blonde_wig.webp","https://arelvienne.com/images/lum-014/02_three_quarter_side_portrait.webp,https://arelvienne.com/images/lum-014/03_back_three_quarter_view.webp,https://arelvienne.com/images/lum-014/04_lace_front_closeup.webp,https://arelvienne.com/images/lum-014/05_seated_product_hero_boucle_chair.webp","259.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-014","Blonde","14inch/35cm","Human Hair"
"lum-015-18","The Honey Noir Straight - 1B/27 Honey Noir - 18inch/45cm","A sleek 1B/27 highlight lace-front wig with honey-blonde ribbons through a natural noir base. Smooth, glossy, and face-brightening, it gives everyday polish with a warmer, dimensional finish.","https://arelvienne.com/honey-noir-highlight-straight-wig.html?variant=lum-015-18&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-015-18","https://arelvienne.com/images/lum-015/main_01_front_hero.webp","https://arelvienne.com/images/lum-015/main_02_3-4_side.webp,https://arelvienne.com/images/lum-015/main_03_back_3-4_length.webp,https://arelvienne.com/images/lum-015/main_04_lace_hairline_closeup.webp,https://arelvienne.com/images/lum-015/main_05_seated_product_hero.webp","349.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-015","Natural Black/Honey Blonde","18inch/45cm","Human Hair"
"lum-015-20","The Honey Noir Straight - 1B/27 Honey Noir - 20inch/50cm","A sleek 1B/27 highlight lace-front wig with honey-blonde ribbons through a natural noir base. Smooth, glossy, and face-brightening, it gives everyday polish with a warmer, dimensional finish.","https://arelvienne.com/honey-noir-highlight-straight-wig.html?variant=lum-015-20&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-015-20","https://arelvienne.com/images/lum-015/main_01_front_hero.webp","https://arelvienne.com/images/lum-015/main_02_3-4_side.webp,https://arelvienne.com/images/lum-015/main_03_back_3-4_length.webp,https://arelvienne.com/images/lum-015/main_04_lace_hairline_closeup.webp,https://arelvienne.com/images/lum-015/main_05_seated_product_hero.webp","449.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-015","Natural Black/Honey Blonde","20inch/50cm","Human Hair"
"lum-016-12","The Burgundy Bob Closure - Burgundy Wine - 12inch/30cm","A polished burgundy bob with a clean 5x5 closure and silky bone-straight finish. Short, glossy, and easy to wear, it gives a rich wine-red statement without losing everyday softness.","https://arelvienne.com/burgundy-bob-closure-wig.html?variant=lum-016-12&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-016-12","https://arelvienne.com/images/lum-016/a_high_resolution_studio_lit_fashion_beauty_port.webp","https://arelvienne.com/images/lum-016/a_high_end_beauty_portrait_in_a_studio_a_close_up.webp,https://arelvienne.com/images/lum-016/a_clean_studio_portrait_scene_with_a_warm_beige_ta.webp,https://arelvienne.com/images/lum-016/a_warm_studio_portrait_scene_with_a_neutral_beige.webp,https://arelvienne.com/images/lum-016/studio_portrait_scene_with_a_warm_beige_tan_backgr.webp","259.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","","Burgundy Wine","12inch/30cm","Human Hair"
